キャンディー 浅田,きゃんでぃー あさだ,女,1950.01.05,歌手,大阪府
上 恭ノ介,かみ きょうのすけ,男,1950.01.08,声優 ラジオ・パーソナリティー,千葉県
脇坂 京子,わきさか きょうこ,女,1950.01.14,声優 ナレーター,北海道
ダモ 鈴木,だも すずき,男,1950.01.16,歌手,神奈川県
金子 晴美,かねこ はるみ,女,1950.01.19,歌手,東京都
ジュディ・オング,じゅでぃ おんぐ,女,1950.01.24,女優 歌手,台湾
浜名 ヒロシ,はまな ひろし,男,1950.01.26,歌手,静岡県
山本 譲二,やまもと じょうじ,男,1950.02.01,歌手,山口県
泉 アキ,いずみ あき,女,1950.02.04,歌手 タレント,愛知県
島田 洋七,しまだ ようしち,男,1950.02.10,漫才師 タレント,広島県
友川 かずき,ともかわ かずき,男,1950.02.16,歌手,秋田県
志村 けん,しむら けん,男,1950.02.20,タレント,東京都
ばんば ひろふみ,ばんば ひろふみ,男,1950.02.20,歌手,京都府
梢 みわ,こずえ みわ,女,1950.02.25,歌手,東京都
鈴置 洋孝,すずおき ひろたか,男,1950.03.06,声優,愛知県
可愛 和美,かあい かずみ,女,1950.03.10,歌手,熊本県
寺本 良之,てらもと よしゆき,男,1950.03.14,アナウンサー/北陸放送,石川県
白鳥 英美子,しらとり えみこ,女,1950.03.16,歌手,神奈川県
チョー・ヨンピル,ちょー よんぴる,男,1950.03.21,歌手,韓国
池内 博子,いけうち ひろこ,女,1950.04.08,アナウンサー/山口放送,福岡県
小畑 ミキ,こばた みき,女,1950.04.08,歌手,東京都
和田 アキ子,わだ あきこ,女,1950.04.10,歌手 タレント,大阪府
乱 一生,らん いっせい,男,1950.04.14,タレント,東京都
藤本 房子,ふじもと ふさこ,女,1950.05.02,歌手,東京都
中谷 ゆみ,なかたに ゆみ,女,1950.06.07,声優,東京都
梢 ネネ,こずえ ねね,女,1950.06.15,歌手,東京都
細川 たかし,ほそかわ たかし,男,1950.06.15,歌手,北海道
杉本 エマ,すぎもと えま,女,1950.06.17,タレント,大阪府
熊谷 富由美,くまがい ふゆみ,女,1950.06.18,アナウンサー/テレビ西日本,香川県
上野 博樹,うえの ひろき,男,1950.06.23,歌手,東京都
青木 裕子,あおき ゆうこ,女,1950.06.26,アナウンサー/ＮＨＫ,福岡県
小堀 勝啓,こぼり かつひろ,男,1950.06.26,アナウンサー/中部日本放送（CBC）,北海道
清原 憲一,きよはら けんいち,男,1950.06.28,アナウンサー/熊本放送,熊本県
藤野 ひろ子,ふじの ひろこ,女,1950.07.14,歌手,兵庫県
梶原 しげる,かじわら しげる,男,1950.07.26,アナウンサー/文化放送→フリー,神奈川県
鈴木 直志,すずき なおし,男,1950.07.26,アナウンサー/テレビ岩手,岩手県
萩原 健一,はぎわら けんいち,男,1950.07.26,歌手 俳優,埼玉県
木村 進,きむら すすむ,男,1950.07.29,タレント,福岡県
中村 美律子,なかむら みつこ,女,1950.07.31,歌手,大阪府
迎 康子,むかい やすこ,女,1950.07.31,アナウンサー/ＮＨＫ,東京都
小林 ユミ,こばやし ゆみ,女,1950.08.18,歌手, 
八代 亜紀,やしろ あき,女,1950.08.29,歌手,熊本県
